,Time,Date,Route,Block ID,Element Key,Location,Side of Street,Paid,Load Zone,RPZ,ADA,Rideshare Vehicle,Illegal,Notes,Picture
142,3PM,10/6/2021,UptownCore,RPZ 13,1046,1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,8,0,0,1,0,0,,
158,4PM,10/6/2021,UptownCore,RPZ 13,1046,1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,10,0,0,1,0,0,,
174,5PM,10/6/2021,UptownCore,RPZ 13,1046,1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,8,0,0,1,0,1,,
30,6PM,10/6/2021,UptownCore,RPZ 13,1046,1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,13,0,0,1,0,0,,
46,7PM,10/6/2021,UptownCore,RPZ 13,1046,1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,12,0,0,0,0,1,,
9,09AM,10/6/2021,UptownCore,RPZ 13,12289,QUEEN ANNE AVE N BETWEEN MERCER ST AND ROY ST,W,3,0,0,0,0,0,no parking stand signs 9l20 to 10/18 on south half of block face,https://idax.blob.core.windows.net/images/da8ae819-910f-46ec-b350-51be9329e1e4-mobile.jpg
57,10AM,10/6/2021,UptownCore,RPZ 13,12289,QUEEN ANNE AVE N BETWEEN MERCER ST AND ROY ST,W,3,0,0,0,0,0,,https://idax.blob.core.windows.net/images/534f9d09-86a5-4813-a4d3-ff26ee896f8e-mobile.jpg
73,11AM,10/6/2021,UptownCore,RPZ 13,12289,QUEEN ANNE AVE N BETWEEN MERCER ST AND ROY ST,W,4,0,0,0,0,0,,
89,12PM,10/6/2021,UptownCore,RPZ 13,12289,QUEEN ANNE AVE N BETWEEN MERCER ST AND ROY ST,W,4,0,0,1,0,0,,
105,1PM,10/6/2021,UptownCore,RPZ 13,12289,QUEEN ANNE AVE N BETWEEN MERCER ST AND ROY ST,W,5,1,0,1,0,0,,
121,2PM,10/6/2021,UptownCore,RPZ 13,12289,QUEEN ANNE AVE N BETWEEN MERCER ST AND ROY ST,W,3,0,0,1,0,0,,
137,3PM,10/6/2021,UptownCore,RPZ 13,12289,QUEEN ANNE AVE N BETWEEN MERCER ST AND ROY ST,W,5,0,0,0,0,0,,
153,4PM,10/6/2021,UptownCore,RPZ 13,12289,QUEEN ANNE AVE N BETWEEN MERCER ST AND ROY ST,W,4,0,0,0,0,0,,
169,5PM,10/6/2021,UptownCore,RPZ 13,12289,QUEEN ANNE AVE N BETWEEN MERCER ST AND ROY ST,W,6,0,0,0,0,0,,
25,6PM,10/6/2021,UptownCore,RPZ 13,12289,QUEEN ANNE AVE N BETWEEN MERCER ST AND ROY ST,W,6,0,0,0,0,0,,
41,7PM,10/6/2021,UptownCore,RPZ 13,12289,QUEEN ANNE AVE N BETWEEN MERCER ST AND ROY ST,W,8,0,0,0,0,0,,
10,09AM,10/6/2021,UptownCore,RPZ 13,12290,QUEEN ANNE AVE N BETWEEN MERCER ST AND ROY ST,E,0,0,0,0,0,0,no parking stand signs (some not current; some for 10/4 - 10/25)on block face,
58,10AM,10/6/2021,UptownCore,RPZ 13,12290,QUEEN ANNE AVE N BETWEEN MERCER ST AND ROY ST,E,5,0,0,0,0,0,,"https://idax.blob.core.windows.net/images/e5626da9-f135-4ba9-b8c8-2df0e953d0c0-mobile.jpg,https://idax.blob.core.windows.net/images/0e13361b-c8bd-4148-9b15-e032d43f8a55-mobile.jpg,https://idax.blob.core.windows.net/images/53f19924-6669-4fca-b17d-9ce438c4d47b-mobile.jpg"
74,11AM,10/6/2021,UptownCore,RPZ 13,12290,QUEEN ANNE AVE N BETWEEN MERCER ST AND ROY ST,E,5,0,0,1,0,0,,
90,12PM,10/6/2021,UptownCore,RPZ 13,12290,QUEEN ANNE AVE N BETWEEN MERCER ST AND ROY ST,E,3,0,0,0,0,0,,
106,1PM,10/6/2021,UptownCore,RPZ 13,12290,QUEEN ANNE AVE N BETWEEN MERCER ST AND ROY ST,E,5,2,0,0,0,0,,
122,2PM,10/6/2021,UptownCore,RPZ 13,12290,QUEEN ANNE AVE N BETWEEN MERCER ST AND ROY ST,E,3,0,0,0,0,0,,
138,3PM,10/6/2021,UptownCore,RPZ 13,12290,QUEEN ANNE AVE N BETWEEN MERCER ST AND ROY ST,E,1,0,0,0,0,0,,
154,4PM,10/6/2021,UptownCore,RPZ 13,12290,QUEEN ANNE AVE N BETWEEN MERCER ST AND ROY ST,E,3,0,0,0,0,0,,
170,5PM,10/6/2021,UptownCore,RPZ 13,12290,QUEEN ANNE AVE N BETWEEN MERCER ST AND ROY ST,E,6,0,0,0,0,0,,
26,6PM,10/6/2021,UptownCore,RPZ 13,12290,QUEEN ANNE AVE N BETWEEN MERCER ST AND ROY ST,E,5,0,0,1,0,0,,
42,7PM,10/6/2021,UptownCore,RPZ 13,12290,QUEEN ANNE AVE N BETWEEN MERCER ST AND ROY ST,E,5,0,0,1,0,0,,
8,09AM,10/6/2021,UptownCore,Don't look for RPZ,23781,W MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,N,0,0,0,0,0,0,,
56,10AM,10/6/2021,UptownCore,Don't look for RPZ,23781,W MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,N,0,0,0,0,0,0,,"https://idax.blob.core.windows.net/images/abb868c7-7fad-443a-b74e-4efe89c8a1f1-mobile.jpg,https://idax.blob.core.windows.net/images/98ac14ec-7369-4f38-9e24-8387b638432a-mobile.jpg"
72,11AM,10/6/2021,UptownCore,Don't look for RPZ,23781,W MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,N,1,0,0,1,0,0,,
88,12PM,10/6/2021,UptownCore,Don't look for RPZ,23781,W MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,N,1,1,0,0,0,0,,
104,1PM,10/6/2021,UptownCore,Don't look for RPZ,23781,W MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,N,3,2,0,0,0,0,,
120,2PM,10/6/2021,UptownCore,Don't look for RPZ,23781,W MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,N,0,0,0,0,0,0,,
136,3PM,10/6/2021,UptownCore,Don't look for RPZ,23781,W MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,N,0,0,0,0,0,0,,
152,4PM,10/6/2021,UptownCore,Don't look for RPZ,23781,W MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,N,0,0,0,0,0,0,,
168,5PM,10/6/2021,UptownCore,Don't look for RPZ,23781,W MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,N,0,0,0,0,0,0,,
24,6PM,10/6/2021,UptownCore,Don't look for RPZ,23781,W MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,N,2,0,0,0,0,0,,
40,7PM,10/6/2021,UptownCore,Don't look for RPZ,23781,W MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,N,3,1,0,0,0,0,,
5,09AM,10/6/2021,UptownCore,RPZ 13,23782,W MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,S,4,0,0,0,0,0,,
53,10AM,10/6/2021,UptownCore,RPZ 13,23782,W MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,S,2,2,0,0,0,0,,"https://idax.blob.core.windows.net/images/f460051e-3ef3-4475-b98f-db0790fc51fa-mobile.jpg,https://idax.blob.core.windows.net/images/cd506a46-29f7-4979-a3b5-7f0e20b84b05-mobile.jpg"
69,11AM,10/6/2021,UptownCore,RPZ 13,23782,W MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,S,2,1,0,0,0,0,,
85,12PM,10/6/2021,UptownCore,RPZ 13,23782,W MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,S,2,0,0,0,0,0,,
101,1PM,10/6/2021,UptownCore,RPZ 13,23782,W MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,S,1,0,0,0,0,0,,
117,2PM,10/6/2021,UptownCore,RPZ 13,23782,W MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,S,0,0,0,0,0,0,,
133,3PM,10/6/2021,UptownCore,RPZ 13,23782,W MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,S,0,0,0,0,0,0,,
149,4PM,10/6/2021,UptownCore,RPZ 13,23782,W MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,S,4,0,0,0,0,0,,
165,5PM,10/6/2021,UptownCore,RPZ 13,23782,W MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,S,3,0,0,0,0,0,,
21,6PM,10/6/2021,UptownCore,RPZ 13,23782,W MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,S,2,0,0,0,0,0,,
37,7PM,10/6/2021,UptownCore,RPZ 13,23782,W MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,S,1,0,0,2,0,0,,
3,09AM,10/6/2021,UptownCore,RPZ 13,23873,W REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,N,3,0,0,0,0,0,,
51,10AM,10/6/2021,UptownCore,RPZ 13,23873,W REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,N,5,0,0,0,0,0,,
67,11AM,10/6/2021,UptownCore,RPZ 13,23873,W REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,N,5,0,0,0,0,0,,
83,12PM,10/6/2021,UptownCore,RPZ 13,23873,W REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,N,5,0,0,0,0,0,,
99,1PM,10/6/2021,UptownCore,RPZ 13,23873,W REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,N,5,0,0,0,0,0,,
115,2PM,10/6/2021,UptownCore,RPZ 13,23873,W REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,N,3,0,0,0,0,0,,
131,3PM,10/6/2021,UptownCore,RPZ 13,23873,W REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,N,5,0,0,0,0,0,,
147,4PM,10/6/2021,UptownCore,RPZ 13,23873,W REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,N,1,0,0,0,0,0,,
163,5PM,10/6/2021,UptownCore,RPZ 13,23873,W REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,N,3,0,0,0,0,0,,
19,6PM,10/6/2021,UptownCore,RPZ 13,23873,W REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,N,5,0,0,0,0,0,,
35,7PM,10/6/2021,UptownCore,RPZ 13,23873,W REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,N,5,0,0,0,0,0,,
0,09AM,10/6/2021,UptownCore,NO RPZ,23874,W REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,S,5,1,0,0,0,0,,
48,10AM,10/6/2021,UptownCore,NO RPZ,23874,W REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,S,3,0,0,0,0,0,,https://idax.blob.core.windows.net/images/5de61dc1-3194-4219-b8b9-6dd6f2ac68d0-mobile.jpg
64,11AM,10/6/2021,UptownCore,NO RPZ,23874,W REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,S,6,0,0,0,0,0,,
80,12PM,10/6/2021,UptownCore,NO RPZ,23874,W REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,S,6,0,0,0,0,0,,
96,1PM,10/6/2021,UptownCore,NO RPZ,23874,W REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,S,3,1,0,0,0,0,,
112,2PM,10/6/2021,UptownCore,NO RPZ,23874,W REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,S,4,0,0,0,0,0,,
128,3PM,10/6/2021,UptownCore,NO RPZ,23874,W REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,S,4,0,0,0,0,0,,
144,4PM,10/6/2021,UptownCore,NO RPZ,23874,W REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,S,3,0,0,0,0,0,,
160,5PM,10/6/2021,UptownCore,NO RPZ,23874,W REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,S,2,0,0,0,0,0,,
16,6PM,10/6/2021,UptownCore,NO RPZ,23874,W REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,S,4,0,0,0,0,0,,
32,7PM,10/6/2021,UptownCore,NO RPZ,23874,W REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,S,4,1,0,0,0,0,,
4,09AM,10/6/2021,UptownCore,RPZ 13,24270,1ST AVE W BETWEEN W REPUBLICAN ST AND W MERCER ST,E,10,0,0,0,0,0,,
52,10AM,10/6/2021,UptownCore,RPZ 13,24270,1ST AVE W BETWEEN W REPUBLICAN ST AND W MERCER ST,E,12,1,0,1,0,0,,https://idax.blob.core.windows.net/images/acc2a68a-d52c-4049-a3e3-fa9e38cc6fb2-mobile.jpg
68,11AM,10/6/2021,UptownCore,RPZ 13,24270,1ST AVE W BETWEEN W REPUBLICAN ST AND W MERCER ST,E,9,1,0,1,0,0,1 paid is 24 ft truck plus ramp,
84,12PM,10/6/2021,UptownCore,RPZ 13,24270,1ST AVE W BETWEEN W REPUBLICAN ST AND W MERCER ST,E,12,1,0,2,0,0,,
100,1PM,10/6/2021,UptownCore,RPZ 13,24270,1ST AVE W BETWEEN W REPUBLICAN ST AND W MERCER ST,E,9,0,0,1,0,0,,
116,2PM,10/6/2021,UptownCore,RPZ 13,24270,1ST AVE W BETWEEN W REPUBLICAN ST AND W MERCER ST,E,10,0,0,0,0,0,,
132,3PM,10/6/2021,UptownCore,RPZ 13,24270,1ST AVE W BETWEEN W REPUBLICAN ST AND W MERCER ST,E,8,2,0,0,0,0,,
148,4PM,10/6/2021,UptownCore,RPZ 13,24270,1ST AVE W BETWEEN W REPUBLICAN ST AND W MERCER ST,E,11,2,0,1,0,0,,
164,5PM,10/6/2021,UptownCore,RPZ 13,24270,1ST AVE W BETWEEN W REPUBLICAN ST AND W MERCER ST,E,4,0,0,2,0,0,,
20,6PM,10/6/2021,UptownCore,RPZ 13,24270,1ST AVE W BETWEEN W REPUBLICAN ST AND W MERCER ST,E,10,1,0,1,0,0,,
36,7PM,10/6/2021,UptownCore,RPZ 13,24270,1ST AVE W BETWEEN W REPUBLICAN ST AND W MERCER ST,E,14,2,0,0,0,0,,
11,09AM,10/6/2021,UptownCore,NO RPZ,34937,QUEEN ANNE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,5,1,0,0,0,0,,
59,10AM,10/6/2021,UptownCore,NO RPZ,34937,QUEEN ANNE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,6,0,0,0,0,0,,"https://idax.blob.core.windows.net/images/e061d2f1-ce41-4ce2-971a-a6b8df5effb9-mobile.jpg,https://idax.blob.core.windows.net/images/e2dca225-3578-4f89-a7b9-f8ab65954189-mobile.jpg"
75,11AM,10/6/2021,UptownCore,NO RPZ,34937,QUEEN ANNE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,5,0,0,0,0,0,,
91,12PM,10/6/2021,UptownCore,NO RPZ,34937,QUEEN ANNE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,5,1,0,0,0,0,,
107,1PM,10/6/2021,UptownCore,NO RPZ,34937,QUEEN ANNE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,4,1,0,0,0,0,,
123,2PM,10/6/2021,UptownCore,NO RPZ,34937,QUEEN ANNE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,5,0,0,0,0,0,,
139,3PM,10/6/2021,UptownCore,NO RPZ,34937,QUEEN ANNE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,4,0,0,0,0,0,,
155,4PM,10/6/2021,UptownCore,NO RPZ,34937,QUEEN ANNE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,6,0,0,0,0,0,,
171,5PM,10/6/2021,UptownCore,NO RPZ,34937,QUEEN ANNE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,5,1,0,0,0,0,,
27,6PM,10/6/2021,UptownCore,NO RPZ,34937,QUEEN ANNE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,7,1,0,0,0,0,,
43,7PM,10/6/2021,UptownCore,NO RPZ,34937,QUEEN ANNE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,4,1,0,0,0,0,,
12,09AM,10/6/2021,UptownCore,NO RPZ,34938,QUEEN ANNE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,0,0,0,0,0,0,parking blocked off for road work,https://idax.blob.core.windows.net/images/23ccaec7-77da-4eab-ae3f-026de0ef15aa-mobile.jpg
60,10AM,10/6/2021,UptownCore,NO RPZ,34938,QUEEN ANNE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,0,0,0,0,0,0,no parking,
76,11AM,10/6/2021,UptownCore,NO RPZ,34938,QUEEN ANNE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,0,0,0,0,0,0,,
92,12PM,10/6/2021,UptownCore,NO RPZ,34938,QUEEN ANNE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,0,0,0,0,0,0,,
108,1PM,10/6/2021,UptownCore,NO RPZ,34938,QUEEN ANNE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,0,0,0,0,0,0,,
124,2PM,10/6/2021,UptownCore,NO RPZ,34938,QUEEN ANNE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,0,0,0,0,0,0,,
140,3PM,10/6/2021,UptownCore,NO RPZ,34938,QUEEN ANNE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,0,0,0,0,0,0,,
156,4PM,10/6/2021,UptownCore,NO RPZ,34938,QUEEN ANNE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,0,0,0,0,0,0,,
172,5PM,10/6/2021,UptownCore,NO RPZ,34938,QUEEN ANNE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,0,0,0,0,0,0,,
28,6PM,10/6/2021,UptownCore,NO RPZ,34938,QUEEN ANNE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,0,0,0,0,0,0,,
44,7PM,10/6/2021,UptownCore,NO RPZ,34938,QUEEN ANNE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,0,0,0,0,0,0,,
2,09AM,10/6/2021,UptownCore,NO RPZ,57861,REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,N,3,0,0,0,0,1,,
50,10AM,10/6/2021,UptownCore,NO RPZ,57861,REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,N,3,0,0,0,0,2,1 illegal 30 ft truck idling in bike lane; 1 illegal in ada space.,
66,11AM,10/6/2021,UptownCore,NO RPZ,57861,REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,N,4,0,0,0,0,2,1 illegal 24 ft garbage truck idling in bike lane; 1 illegal in ada space.,
82,12PM,10/6/2021,UptownCore,NO RPZ,57861,REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,N,0,0,0,1,0,1,,
98,1PM,10/6/2021,UptownCore,NO RPZ,57861,REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,N,4,0,0,0,0,0,,
114,2PM,10/6/2021,UptownCore,NO RPZ,57861,REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,N,2,0,0,0,0,0,,
130,3PM,10/6/2021,UptownCore,NO RPZ,57861,REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,N,2,0,0,0,0,0,,
146,4PM,10/6/2021,UptownCore,NO RPZ,57861,REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,N,4,0,0,0,0,0,,
162,5PM,10/6/2021,UptownCore,NO RPZ,57861,REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,N,4,0,0,1,0,0,,
18,6PM,10/6/2021,UptownCore,NO RPZ,57861,REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,N,3,0,0,3,0,0,,
34,7PM,10/6/2021,UptownCore,NO RPZ,57861,REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,N,4,0,0,3,0,0,,
1,09AM,10/6/2021,UptownCore,NO RPZ,57862,REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,S,0,1,0,0,0,0,,
49,10AM,10/6/2021,UptownCore,NO RPZ,57862,REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,S,0,0,0,0,0,0,,https://idax.blob.core.windows.net/images/127d437c-6a4c-4ee6-bcef-9f025eaaa424-mobile.jpg
65,11AM,10/6/2021,UptownCore,NO RPZ,57862,REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,S,0,1,0,0,0,0,,
81,12PM,10/6/2021,UptownCore,NO RPZ,57862,REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,S,0,0,0,0,0,0,,
97,1PM,10/6/2021,UptownCore,NO RPZ,57862,REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,S,0,0,0,0,0,0,,
113,2PM,10/6/2021,UptownCore,NO RPZ,57862,REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,S,1,1,0,0,0,0,,
129,3PM,10/6/2021,UptownCore,NO RPZ,57862,REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,S,0,1,0,0,0,0,,
145,4PM,10/6/2021,UptownCore,NO RPZ,57862,REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,S,0,1,0,0,0,0,,
161,5PM,10/6/2021,UptownCore,NO RPZ,57862,REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,S,0,0,0,0,0,1,,
17,6PM,10/6/2021,UptownCore,NO RPZ,57862,REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,S,0,0,0,1,0,0,,
33,7PM,10/6/2021,UptownCore,NO RPZ,57862,REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,S,0,0,0,1,0,0,,
15,09AM,10/6/2021,UptownCore,RPZ 13,68929,1ST AVE N BETWEEN MERCER ST AND ROY ST,W,0,0,0,0,0,0,no parking; bike lane,
63,10AM,10/6/2021,UptownCore,RPZ 13,68929,1ST AVE N BETWEEN MERCER ST AND ROY ST,W,0,0,0,0,0,0,,
79,11AM,10/6/2021,UptownCore,RPZ 13,68929,1ST AVE N BETWEEN MERCER ST AND ROY ST,W,0,0,0,0,0,0,,
95,12PM,10/6/2021,UptownCore,RPZ 13,68929,1ST AVE N BETWEEN MERCER ST AND ROY ST,W,0,0,0,0,0,0,,
111,1PM,10/6/2021,UptownCore,RPZ 13,68929,1ST AVE N BETWEEN MERCER ST AND ROY ST,W,0,0,0,0,0,0,,
127,2PM,10/6/2021,UptownCore,RPZ 13,68929,1ST AVE N BETWEEN MERCER ST AND ROY ST,W,0,0,0,0,0,0,,
143,3PM,10/6/2021,UptownCore,RPZ 13,68929,1ST AVE N BETWEEN MERCER ST AND ROY ST,W,0,0,0,0,0,0,,
159,4PM,10/6/2021,UptownCore,RPZ 13,68929,1ST AVE N BETWEEN MERCER ST AND ROY ST,W,0,0,0,0,0,0,,
175,5PM,10/6/2021,UptownCore,RPZ 13,68929,1ST AVE N BETWEEN MERCER ST AND ROY ST,W,0,0,0,0,0,0,,
31,6PM,10/6/2021,UptownCore,RPZ 13,68929,1ST AVE N BETWEEN MERCER ST AND ROY ST,W,0,0,0,0,0,0,,
47,7PM,10/6/2021,UptownCore,RPZ 13,68929,1ST AVE N BETWEEN MERCER ST AND ROY ST,W,0,0,0,0,0,0,,
7,09AM,10/6/2021,UptownCore,RPZ 13,79765,MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,N,0,0,0,0,0,0,no parking - permanent signs and bus lane on whole block face,
55,10AM,10/6/2021,UptownCore,RPZ 13,79765,MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,N,0,0,0,0,0,0,,
71,11AM,10/6/2021,UptownCore,RPZ 13,79765,MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,N,0,0,0,0,0,0,,
87,12PM,10/6/2021,UptownCore,RPZ 13,79765,MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,N,0,0,0,0,0,0,,
