,Time,Date,Route,Block ID,Element Key,Location,Side of Street,Paid,Load Zone,RPZ,ADA,Rideshare Vehicle,Notes,Picture
1220,1800,30-09-2021,PPEast,11,1233,10TH AVE BETWEEN E PIKE ST AND E PINE ST,W,6,1,0,0,0,,
1244,1900,30-09-2021,PPEast,11,1233,10TH AVE BETWEEN E PIKE ST AND E PINE ST,W,5,1,0,0,0,,
1268,2000,30-09-2021,PPEast,11,1233,10TH AVE BETWEEN E PIKE ST AND E PINE ST,W,5,1,0,0,0,,
1292,2100,30-09-2021,PPEast,11,1233,10TH AVE BETWEEN E PIKE ST AND E PINE ST,W,5,2,0,0,0,,
966,900,30-09-2021,PPEast,12,1234,10TH AVE BETWEEN E PIKE ST AND E PINE ST,E,11,0,0,0,0,,
990,1000,30-09-2021,PPEast,12,1234,10TH AVE BETWEEN E PIKE ST AND E PINE ST,E,16,1,0,0,0,,
1014,1100,30-09-2021,PPEast,12,1234,10TH AVE BETWEEN E PIKE ST AND E PINE ST,E,18,0,0,0,0,,
1038,1200,30-09-2021,PPEast,12,1234,10TH AVE BETWEEN E PIKE ST AND E PINE ST,E,21,0,0,0,0,,
1062,1300,30-09-2021,PPEast,12,1234,10TH AVE BETWEEN E PIKE ST AND E PINE ST,E,18,0,0,0,0,,
1086,1400,30-09-2021,PPEast,12,1234,10TH AVE BETWEEN E PIKE ST AND E PINE ST,E,16,0,0,0,0,,
1110,1500,30-09-2021,PPEast,12,1234,10TH AVE BETWEEN E PIKE ST AND E PINE ST,E,16,0,0,0,0,,
1159,1600,30-09-2021,PPEast,12,1234,10TH AVE BETWEEN E PIKE ST AND E PINE ST,E,20,0,0,0,0,,
1183,1700,30-09-2021,PPEast,12,1234,10TH AVE BETWEEN E PIKE ST AND E PINE ST,E,21,0,0,0,0,,
1207,1800,30-09-2021,PPEast,12,1234,10TH AVE BETWEEN E PIKE ST AND E PINE ST,E,20,0,0,0,0,,
1231,1900,30-09-2021,PPEast,12,1234,10TH AVE BETWEEN E PIKE ST AND E PINE ST,E,22,0,0,0,0,,
1255,2000,30-09-2021,PPEast,12,1234,10TH AVE BETWEEN E PIKE ST AND E PINE ST,E,18,0,0,0,0,,
1279,2100,30-09-2021,PPEast,12,1234,10TH AVE BETWEEN E PIKE ST AND E PINE ST,E,21,0,0,0,0,,
